year,gdp_at_constant_mill_rs,gdp_growth_percent,gdp_nominal_mill_rs,gdp_nominal_growth_percent,gdp_usd,cpi,exchange_rate,m2,oil_price,food_price,exports_goods_mill_rs,imports_goods_mill_rs,trade_balance_goods_mill_rs,remittances_mill_rs,current_account_balance_mill_rs,cad_percent_gdp,investment_mill_rs,investment_percent_gdp,total_gfcf_current_mill_rs,general_gfcf_current_mill_rs,growth_ggfc_percent,private_gfcf_current_mill_rs,total_gfcf_constant_mill_rs,general_gfcf_constant_mill_rs,private_gfcf_constant_mill_rs,gg_final_consumption_current_mill_rs,growth_final_consumption_percent,current_expenditure_mill_rs,development_expenditure_mill_rs,total_expenditure_mill_rs,fiscal_balance_mill_rs,fiscal_deficit_percent
FY1972,3663822.646262127,2.2504228312952623,80040.09752600444,7.232074118,16.81514653907656,,4.76,,,,625,954.3,-329.3,,,,11589.024365837115,14.47902329463295,10332.668274822576,922.6743980371357,-2.760084926,6921.671301694003,1042449.5062116709,85530.17820359545,747310.4979553879,6674.925365046046,22.922201138519927,,,,,
FY1973,3911691.6580244014,6.765311416346886,99106.46756790482,23.821023001259924,13.520664061105707,2.288391618,7.33,,2.732852307897297,39.32721006,766.2,889.1,-122.9,136,,,12272.178267294275,12.382822805066422,10794.112277865406,1596.5490402716814,73.0349345,6726.175227028645,1026030.8512014294,91443.29216176372,707924.7561276618,7958.802642731654,19.23433158382215,,,,,
FY1974,4173825.5096596307,6.7012912711944095,131518.15147675594,32.703903896729635,13.271256455777593,3.027379557,9.91,,10.168752263167189,63.763146674246705,1019.7,1493.1,-473.4,139,,,15766.4856,11.98806812790774,14288.41961016953,2703.5568606240963,69.33753943217664,7254.906282212781,980327.7471403659,96771.04835058791,574828.1113305187,8798.577908633555,10.551527705851882,,,,,
FY1975,4302166.030281225,3.074889458712904,166593.74097931836,26.669770756899336,16.81067012909368,3.769493542,9.91,,13.761265884809474,69.15950114,977.6,2114.2,-1136.6,215.97,,,24181.556359763446,14.515285038689086,21225.424380905708,3810.564680976511,40.946348733233975,9765.728585430763,942306.0614426234,99252.60673019085,513033.2405318451,12313.269236230351,39.94612952336338,,,,,
FY1976,4411498.787781037,2.541342122323087,193871.7983071645,16.373998907457498,19.56324907236776,4.208977961,9.91,,14.687827053735747,51.725056850483185,1162.1,2139.4,-977.3,339,,,30320.964776064717,15.63969852284813,30320.964776064717,4943.7619493081465,29.738302934179227,13333.552217668752,1272652.008242313,102676.67035715889,714375.8690132377,14779.01428077422,20.025104602510456,18925,13404,32329,-12480,-6.437243637
FY1977,4558416.730286415,3.330340765644335,223529.81424082752,15.297746341978913,22.555985291708122,4.577958872,9.91,,16.206449669078747,54.17406907333709,1131.7,2418.1,-1286.4,577.74,,,36900.62570809825,16.508144935128026,35422.55971866938,6048.755196739083,22.35126324368377,15997.615366674843,1369113.1712804746,106617.34074500467,781263.7236689448,17222.090545134233,16.530711845499546,19213,15958,35171,-12838,-5.743305448
FY1978,4905995.883701882,7.624997317733784,263081.75607806083,17.694257909873578,26.547099503336106,4.926244509,9.91,,16.950151329969305,52.97843234792492,1496.9,3174,-1677.1,1156.33,,,40849.831542231535,15.527428488849942,39371.765552802666,5699.2267948625695,-5.778517902,18227.157499620516,1382387.5104244936,115626.54464059546,791110.1591258763,19697.109181571497,14.371185832236444,25545,15353,40898,-13893,-5.280867897
FY1979,5191352.685583701,5.816490854,293442.0315462323,11.54024358084451,29.61069944967026,5.252700461,9.91,,25.615333550373734,61.11871091529275,1644.2,3815.9,-2171.7,1397.92,,,45509.03950813987,15.50869835120053,42922.424026639346,6627.944911664141,16.29551078119478,20124.08681287101,1362014.506189839,122301.24883883784,779566.0623832669,20957.287279973985,6.3977819627537125,30500,18494,48994,-17315,-5.90065435
FY1980,5510920.272950798,6.155767229,348998.90823980654,18.932828538852718,35.21684240563134,5.815386359,9.91,,49.57545725821444,68.94275866969865,2340.8,4856.6,-2515.8,1747.05,,,56660.014938764776,16.23501208772612,53703.88295990704,6889.839391456341,3.951367781155013,26089.31181903963,1434139.7303917608,131569.55742452733,846453.9170389739,24250.44280122856,15.713653571955355,35547,19082,54629,-14663,-4.201445808
FY1981,5831091.523587694,5.809760163078215,411294.3500388928,17.849752629106042,41.50296165881865,6.534161885,9.91,,48.74645802984958,78.04771887436038,2798.6,5563.4,-2764.8,2115.93,,,85769.22722703136,20.853490260423186,79117.93027460144,9149.717366,32.800154636778785,52654.904396580816,1388800.3871164303,139920.1053074632,894734.8470168507,29135.564930849323,20.144465689398782,40318,23321,63639,-14618,-3.554145589
